Action,MachineName,UserNameAndPID,TimeCreated
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/18/2019 11:39:49 PM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/18/2019 10:44:21 PM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/18/2019 7:35:35 PM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/18/2019 5:13:38 PM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/18/2019 4:55:02 PM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/18/2019 12:07:35 PM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/18/2019 10:41:39 AM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/18/2019 9:09:02 AM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/18/2019 9:05:03 AM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/18/2019 8:52:11 AM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/18/2019 7:29:46 AM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/18/2019 12:38:12 AM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/17/2019 8:24:15 PM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/17/2019 5:55:47 PM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/17/2019 8:36:41 AM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/17/2019 12:06:43 AM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/16/2019 11:45:18 PM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/16/2019 3:24:31 PM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/16/2019 11:29:00 AM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/15/2019 9:49:56 PM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/15/2019 4:53:35 PM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/15/2019 3:51:39 PM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/15/2019 12:24:07 PM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/15/2019 12:40:49 AM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/14/2019 9:02:13 PM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/14/2019 9:07:07 AM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/14/2019 8:41:12 AM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/14/2019 1:40:06 AM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/14/2019 1:09:12 AM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/13/2019 11:25:17 PM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/13/2019 9:49:01 PM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/13/2019 9:02:32 PM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/13/2019 8:00:20 PM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/13/2019 4:34:18 PM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/13/2019 4:15:52 PM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/13/2019 11:25:04 AM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/13/2019 11:13:34 AM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/13/2019 10:33:19 AM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/13/2019 9:19:45 AM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/12/2019 4:44:30 PM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/12/2019 3:41:02 PM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/12/2019 1:40:08 PM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/12/2019 12:27:39 PM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/12/2019 10:48:37 AM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/12/2019 10:12:08 AM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/12/2019 1:02:35 AM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/12/2019 12:48:37 AM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/11/2019 11:13:46 PM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/11/2019 10:14:37 PM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/11/2019 9:38:54 PM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/11/2019 7:42:27 PM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/11/2019 4:42:54 PM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/11/2019 3:29:28 PM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/11/2019 2:51:12 PM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/11/2019 1:58:08 PM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/11/2019 1:26:36 PM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/11/2019 12:11:44 PM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/11/2019 9:11:08 AM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/11/2019 9:04:23 AM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/10/2019 11:42:37 PM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/10/2019 9:37:52 PM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/10/2019 9:36:43 PM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/10/2019 9:02:42 PM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/10/2019 3:45:06 PM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/10/2019 3:29:11 PM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/10/2019 3:27:55 PM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/10/2019 11:54:37 AM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/9/2019 11:42:37 PM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/9/2019 8:27:38 PM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/9/2019 6:36:39 PM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/9/2019 12:13:05 PM
Logoff,DESKTOP-2HBFK10,S-1-5-21-3296266387-302047794-1361278414-1006,10/9/2019 12:32:14 AM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/9/2019 12:32:13 AM
Logon,DESKTOP-2HBFK10,S-1-5-21-3296266387-302047794-1361278414-1006,10/8/2019 2:09:01 PM
Logoff,DESKTOP-2HBFK10,S-1-5-21-3296266387-302047794-1361278414-1007,10/8/2019 2:07:45 PM
Logoff,DESKTOP-2HBFK10,S-1-5-21-3296266387-302047794-1361278414-1006,10/8/2019 2:07:34 PM
Logon,DESKTOP-2HBFK10,S-1-5-21-3296266387-302047794-1361278414-1007,10/8/2019 2:00:30 PM
Logon,DESKTOP-2HBFK10,S-1-5-21-3296266387-302047794-1361278414-1006,10/8/2019 1:59:52 PM
Logon,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/8/2019 1:33:52 PM
Logoff,DESKTOP-2HBFK10,"LuanPD              S-1-5-21-3296266387-302047794-1361278414-1001  ",10/8/2019 12:59:50 PM
